τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
ἐδίψησα,ἐπείνασα,συνηγάγετέ,ἐδώκατέ,περιεβάλετέ
Σύμμαχον,Σύμμαχος,Ξάνθιππον,Παπίριον,ἐξάξεις
Μαρτινιανὸς,φθιμένοισιν,φθιμένοις,λάεσσι,ἐστονάχησε
εὐπείθειαν,εὐμάθειαν,Βοίους,Ταυρίσκους,ἐνεργάσασθαι
καταλέγειν,συγκαταλέγει,μαγειρικὰ,Κουτρίγουροι,παρασκευασάμενον
ἀποδέον,ἀποδέοντες,Ἐρυκίνης,ἐργαζομένης,ἀποδέοντα
διατριβάς,Στοὰν,ἐτράφην,κόραις,παιδικὰς
Νίκαρχον,Ἱππόλοχον,Βηθανίαν,Καινῆς,λοχαγὸν
ἐπέσσυται,ἐπέσσυτο,ἔσσυται,κιχήσομαι,δαείω
συνάρχοντες,ὑπάρχοντες,προϋπάρχοντες,Μεγακλῆς,δωτῆρες
ἐπῆρε,ἐξέστησεν,προηγάγετο,πολυπραγμονοῦσιν,ἀπολελειμμένην
σφενδόνῃ,Σφενδόνῃ,βάκκαριν,πρίω,γυναικείαις
προσκαίρων,προσκαίρου,ἀγοράσῃς,φθαρτῶν,Θεὸς
ἐπιμένοντα,ἐπιμένοντος,ὀργυιάς,διαθεῖν,φανεροῦσθαι
Ἑλλάνων,ἀέλιον,ὤπασεν,κατεύχονται,ἄγυρις
γυναικί,γυναικὶ,γνησίᾳ,ὀάριζε,μεριμνᾷ
ἀπολιπόντι,καταλιπόντι,Μακεδονίης,νυμφίοις,πριαμένων
ποιησαμένην,ποιησαμένοις,ποιησαμένους,ποιησαμένη,ποιησαμένων
βιούς,ἑβδομηκοστὸν,ἔτη,πεντηκοστὸν,ἐνενήκοντα
ἐκφύγοι,ἐκφύγοιεν,παραπεσούσης,μισθοῦται,συνήρατο
μνηστήρεσσιν,φιληρέτμοισι,ὑποδέχθαι,λιπαροῖσιν,ποικιλομήτην
θέρεος,χειμῶνος,ὥρῃ,κοιλίαι,θέρους
ἐνέργημα,φυσιολογίᾳ,παρεγγυῶν,χρησίμης,καταληπτικὴ
Αἰγαῖς,θαυμασόμεθα,Ἰόππῃ,διαθῆκαι,Αἰγὰς
αὐξάνεται,αὐξάνει,φθίνει,αὐξάνεσθαί,συναύξεται
Μόμμιος,Μόμμιον,ἀφεθέντων,Μομμίου,μέμψαιτό
χρυσοειδῆ,πτερύγια,ἀκρίδες,περιγραφαῖς,τροφιμώτεραι
δοξάζοντας,ἐπεφήμιζον,δοξάζοντες,κατηγορημένα,καταφρονοῦντι
ἀνικήτους,ἀνικήτου,ἀνικήτοις,ἀοικήτους,ἐπιβάλλεσθαι
κοάλεμον,Φλυεύς,μυρώμασιν,Δημόνικος,Ἐκκλησιαζούσαις
τιμωρήσασθε,ἐτιμωρήσασθε,χρήσασθε,ἡγήσασθε,τιμωρήσασθαι
ἐπιγραφή,ἐπιγραφήν,ἐπιγραφὴ,ἐπιγραφὴν,ἐπιγραφῇ
Ἀβισάρην,Ἀβισάρου,Ἀρσάκου,αὐτονόμων,Ἀρσάκην
σοφίσασθαι,ἀποφαινώμεθα,προσομιλοῦντας,μεταβαλέσθαι,ὠλοφύροντο
ἐπιμαρτυράμενος,μαρτυράμενος,εἰσελθοῦσαν,ἀπαντήσαντα,διαφθερεῖ
βιασαμένων,βιασαμένου,βιασαμένοις,βιασαμένους,παραβοηθησάντων
Σουσιανὴν,Τίγριν,Βαβυλωνίαν,Καρμανία,Βακτριανὴν
Ἠριγόνῃ,Ἠριγόνης,Ἰκαρίῳ,Φυτῶν,γαλεὸν
ἔμπλεως,ἀπηλλαγμένος,παραγενόμενα,ἀπηλλαγμένοις,ἔμπλεων
συμβεβηκόσι,συμβεβηκόσιν,Ἀκράγαντα,ὑπομένουσα,παραβοηθησάντων
ἰσχυρῆς,κατατάσιος,προφάσιος,ἀπωθέειν,Κυαξάρεω
ἱλάσασθαι,Θεόφιλον,χρησθὲν,χρηστηριαζομένῳ,Ὑγείαν
φύλλʼ,ἠμάτιος,οὐρήν,ἀοιδᾶν,κῶραι
βάλε,πήχεε,σκανδαλίζει,ἥλοισι,βάλεν
προνομεύοντας,προνομεύοντες,προνομεύουσι,προκαταλαβόμενος,χάρακος
κοῦφόν,φιληρέτμοισι,ἐκλεκτοὶ,Βία,χολώσατο
Αὕτη,ὑπερβεβλημένην,φυγή,.”,μακαρία
ἐμφαίνοντα,ἐμφαίνοντος,ἐμφαίνουσιν,ἐμφαίνουσα,ἐμφαίνοντες
τροφοῖς,ἐμμανῆ,Ἰνοῦς,Κυβέλην,ῥαπίζουσιν
ἐλπισθέντων,ποικιλώτατος,ἐλπισάντων,ἐπιβουλεύουσι,θάρρος
τρώματα,τρώμασιν,τρώμασι,τρώματι,τῇσι
κατήκοοι,ᾤκηνται,ὑπήκοοι,Κόλχοι,ξύμμαχοί
ὀδόντα,ὀδόντος,οἰῶ,γένυσσιν,Ἠκούσατε
ὑπὲρ,περὶ,ἐλευθερίας,,,τῆς
σύκοις,συκάμινα,καρύοις,θηρατῶν,φυομένου
στέψον,μεδέων,ἀώτῳ,κελέβῃ,ζαθέαις
εὐφραίνουσιν,εὐφραίνονται,εὐφραίνου,εὐφραίνοντα,εὐφραίνουσι
ἐκφεύγοντα,ἐκφεύγοντας,ἐκφεύγουσι,ἐκφεύγοι,ἔρχεσθʼ
προστάγμασιν,προστάγμασι,ἱλαρὰς,τάγμασιν,μεταγαγεῖν
αἰσθητικῷ,αἰσθητικὸν,αἰσθητικῶν,αἰσθητικῆς,αἰσθητικῶς
φωσφόρους,δαινύμενοι,φωσφόρος,δαινύμενος,φωσφόρον
σωματοφυλακεῖν,καταπέλται,Ἱεροσολύμων,πρεσβύτερος,δουλείας
φάσις,σπείρης,κατάφασις,ἀποφῆσαι,ἀντικειμένη
ἐπέκλυσε,μάστευε,κατέκλυσε,ἐπέκλυεν,βασιλίδων
Μαθὼν,μοναζόντων,πρεσβεύεται,Ἰωνάθης,Ἀλεξάνδραν
κινητικόν,κινητικά,κινητικὰ,κινητικὸν,γεννητικός
θεοφιλὲς,συμμετρίᾳ,θεοφιλές,φιλεῖται,θεομισὲς
σκύμνους,λέαιναι,νεοτόκος,λεόντων,σκύμνων
ἀνεγνώσθη,ἀνεγνώρισεν,ἀντίγραφον,γραμματειδίῳ,ἀναγνωσθέντος
τρίτος,τέταρτος,δεύτερος,πέμπτος,Τόμος
λεηλατῶν,ὑπαγαγόμενος,λεηλατοῦντες,ἐκπλέοντα,στρατηλατῶν
ἔτʼ,Οἰνῆος,μύρεται,χολώθη,κέχυτʼ
προσευρεῖν,ἐκβεβλήσθωσαν,προσαρμοζέτω,ΗΛ,μετρῇ
ἀναιρεθέντες,ἀγχιμαχηταὶ,οἰκοδεσποτησάντων,καταδρομαὶ,σβέσαν
μελίφρονα,μελίφρονος,ἔρον,ἕντο,κορείης
παρέσχεν,σωτηρίας,Ἀντίοχος,πατρίδα,ἐξουσίαν
καθέξεις,μεθέξεις,καθέξω,διαμετρήσεις,ἀναιδέστατον
θερμότατον,θερμότατος,θερμότατα,τρισάθλιος,λάγανον
συντρέχοντος,συντρέχοντες,συντρέχοντας,συντρέχουσιν,Συντρέχουσιν
χρεμέτισμα,μυκᾶται,προκέλευθον,σάλπιγγα,ἐποχημένος
Ταυροπόλου,Βραυρωνίας,Κύρνῳ,Ταυρικῆς,Ἰφιγενείας
παραδοθέντες,παραδοθέντων,παραδοθέντας,παραδοθέντα,ἀπάγουσιν
ἀρχιλῃστὴν,Ἐζεκίαν,Συρίας,ἀπήντησεν,στίφει
θορυβηθεὶς,αἰαὶ,ἀτρέπτῳ,δεσμώτῃ,ἑκατοντάρχης
μνησθεὶς,καλέσαντος,ἡδύνεσθαι,Τενεδίου,ἐπιχειρήσαντος
προσάγονται,προσάγοντας,προσάγοντα,θυσίαι,προσάγοντος
ἤχου,πτύσματα,ἠχῆς,ἀδολέσχων,ἀπολέσασα
ὡρμήθης,παρακέλευσις,διηγῇ,ἄγομεν,δηλωτέον
οὔρους,ἱρὰ,Σκυθέων,ἑωυτῶν,ἐβοήθεον
Τυρρηνοῖς,Τυρρηνῶν,Σαβῖνοι,Φιδήνης,Ἀλβανοῖς
ξηρῷ,δυτικὸς,ὑγρῷ,ψυχρῷ,θύμῳ
ὑπακούων,παρακούων,ὑπήκουσα,ὑπακούωμεν,Εὐλογημένος
ἐπιτηδεῦσαι,Μυγδόνος,ὑπάρξαντας,Οὐρανίη,εὐλόγως
πράξασα,ἐξαρπάσασα,Ἐλεισάβετ,διδάξασα,πρωτεύουσα
βουλήσονται,ἐθελήσοντας,παύσονται,ἀργυρωνήτων,ἐπανέλθωσιν
κρύψῃ,ἀποκρύψῃ,καρχησίων,εἰαρινὸν,σταφυλή
παραβὰς,πράττοντʼ,λυπηθεὶς,παραβάντος,ἀποκαταστήσει
εὐδία,εὐδίαν,λαιόν,κατακλίνεται,χειμέρια
νήματʼ,νήματι,νήματος,νήματα,κατέδουσιν
διωρύχων,διώρυχας,κατέπρησε,συνωρίσιν,πεδιὰς
τριτάτης,τριτάτη,τριτάτην,μοίρης,μελιηδέος
ἐθέλωσιν,ἐΰθρονον,θέντων,ἐθέλωσι,βούλωνται
σαπρὸς,κίβδηλος,ὤκνησα,ἀσφαλέστερος,τάριχος
Φορμίωνι,Φορμίωνα,Πασίωνος,ἐδάνεισα,ἐδανείσαμεν
συνέπονται,ἐνέποντες,λατρεύουσιν,διαφέρετον,ἀναπαύονται
ἁλούσης,αἰχμαλωσία,πόλεως,Τρικλαρίας,Τροίας
ἕλκουσαι,προσήκουσαι,ὑφαίνουσιν,ῥαπίζουσιν,ἕλκουσα
μετέχων,πικρίας,λαβόμενός,συμπεριφορᾶς,ἀχθομένης
πλευρὰ,ὁμόλογον,ἐκκείσθωσαν,ἐγγραφομένου,δίεφθ
φιληρέτμοισι,</s>,·,ἀμφιπόλοισιν,ἐσσομένοισιν
ἔφλεγεν,ἔφλεγε,Ἀμυμώνην,φλογερῷ,τρομέοις
Ἀσδρούβᾳ,Ἰβηρίαν,Καρχηδονίοις,Ἀσδρούβας,Ἰβηρίᾳ
ἀτταταῖ,Ἀρταμουξία,ἔπειραν,ἀποκαλυφθήσεται,περιέξουσιν
περιμένεις,διαμένεις,περιμένειν,περιμένει,;”
ἀντιτείνειν,ἀντιτείνει,ἀντιτείνοντας,ἀντιτείνων,ἀπωθέειν
καθοπλίσαντες,καθοπλίσας,ὁπλίσαντες,ἐξαπέστελλον,ἐκβιβάσαντες
τουτονὶ,Ὀλυμπιόδωρον,τήνελλα,τουτονί,ἀλεκτρύαιναν
τρίβειν,πιέζοντα,τρίβεσθαι,ἀναμείναντες,περιστέλλεσθαι
πάγκαλος,περιβεβλημένος,κεραυνὸν,διαφανοῦς,ΑΓΑΛΜΑ
Παρμενίδῃ,θεωρεῖτέ,Ἀρταμουξία,Παρμενίδην,Περσᾶν
ὄψεώς,παρακελεύσεως,ἀπάτας,ὀλιγοχρόνια,μεγαλωστὶ
σφίγξαντες,σφίγξασα,ἀγοστῶν,ἀφικόμεθʼ,ἐξελέγξαντες
ἀνατείναντες,προτείναντες,ἀνατείνας,ἐκτείναντες,ἀνατείνοντες
ἐρύσαντες,ἐρύσαντο,ἐρύσαντό,ἐρύσας,ἐρύσαι
ξυνέμπορον,συνέμπορον,Δάμις,Μυκερῖνον,καταρχὰς
συνοῦσίν,ἐπήγγειλαν,προσεταιρίσασθαι,Λέντουλος,ἐψήφιστο
πόσοις,ἐκύλισε,καταπέμπει,ἀδιαιρέτου,διειλόμεθα
συνᾴδων,ἐκτεθεῖσιν,ἐπαινεῖσθαί,Ἀρχαιολογίας,δεδηλωμένος
καὐτὸς,ἐπαιδεύθην,βαρυνθεὶς,ἅναξ,ἵκοιο
Σκορπίου,Ὑδροχόου,Αἰγόκερω,Ὑδροχόῳ,Τοξότου
Βίαντα,Περίανδρον,Θαλῆν,Πιττακόν,Πριήνη
θεμένα,ἁνίκʼ,ὑπάλυξεν,γυνά,λελύπηκεν
Δημήτριός,κενοτάφιον,ἐλπίσασιν,Ἀτέας,Φυσικῇ
κενοὺς,κολακευομένων,μεστούς,χαύνους,φωλεοὺς
Αἰμιλιανός,Αἰμιλιανὸς,Αἰμιλιανοῦ,Ἰουλιανός,Κορύδου
συνδοκῇ,συνδοκεῖ,ὑπερορίου,συνδοκεῖν,διοικήσασθαι
εὐδαιμονίζειν,εὐδαιμονίζεις,εὐδαιμονίζεσθαι,εὐδαιμονίζουσιν,ὑπειληφέναι
ἑσπόμενος,ἑσπόμενον,ἑσπόμενοι,κρεῖον,ἠλεύατο
ἄλκιμοι,εἰμέν,κάρρονες,σταθμώσασθαι,Μάρδοι
πολυειδέα,πολυειδές,ἀφειδέα,ἐπασσύτεροι,λεύσσοντες
ὀφλημάτων,δικαιοῦμεν,διεβίωσαν,Καππαδόκῃ,Ὀνήτορος
ὁδός,ὁδὸς,στενὴ,ἀνάντης,πεδιάς
κνέφας,αἰθομένην,ἠριγενείης,Κρήτεσσι,ἀνεχάσσατο
ἄληπτον,ᾐωρεῖτο,δοκοῦσαν,ἐπέσσυται,συστελλομένων
Εὐβοϊκὸν,ψήγματος,ὀκτακόσια,Εὐβοϊκὰ,ἀναφέροντας
τοπαρχίαν,τοπαρχίας,Ἰάμνειαν,Ἰαμνείας,Ἱεριχοῦν
στάς,πεπειραμένους,ἀγχώμαλος,κλεινός,Ἱμέριος
Πίνδου,Περραιβίαν,Δολοπίας,Πηνειὸς,Περσᾶν
εἴπατον,ἀτταταῖ,Ἀρταμουξία,Περσᾶν,ἐπαύρῃ
τοπικὰς,ἀναγραφάς,Ἀγρίοις,ἱστορίας,φιλοσοφήσαντες
διεγνωκότος,διεγνωκότας,διεγνωκὼς,διεγνωκότες,Δομετίῳ
συμφράξαντες,ἐκτάξαντες,ἀντιτεταγμένοις,κατετραυμάτιζον,προσερείσαντες
διαλεκτικὸν,Θαλοῦ,διαλεκτικόν,Σάθωνα,Ξενοκράτην
ὑπάρχει,ὑπάρχειν,σημαινόμενον,ὑπάρχον,φύσει
ἐκφύγοιεν,διαφύγοιεν,ἐκφύγοι,ἀγήρατον,δρᾶσαί
Κολλατῖνος,Κολλατῖνον,Λουκρητίας,Βροῦτος,Λεύκιος
θρασειάων,ἀπέλεθρος,πελεμίχθη,διαΐσσουσα,ἀπέλεθρον
χρέεται,ηϊδίως,ἰητρείης,Ρ,ὅκως
ὑπομείναντες,ὑπομείναντος,ὑπέμειναν,ὑπομείνασα,ἐπιλανθάνονται
ὀφθαλμὸν,ὀφθαλμόν,ἐκκόψῃ,ἐέρσῃ,πληγεὶς
ἀκριβείας,ἐπηγγειλάμεθα,Διόκλεις,ἀναγινώσκουσι,ἐπίστευσας
παρεῖναί,ἄταις,ὁρμούντων,συλλογισμοὺς,διατροφήν
περιειληφότα,περιειληφέναι,περιειληφότος,περιειλημμένων,περιειληφὸς
Πλατωνικοῦ,Πλατωνικοῖς,Παμφίλου,Πλατωνικὸς,δια
Βασιλείδην,Βασιλείδης,Βασιλείδου,Ἐξηγητικῶν,Οὐαλεντῖνον
ἐπήκοοι,ἰωμένους,συντεταμένως,γενεαὶ,ἐπιστάται
ψήφισμα,προστιμηθῇ,θεσμοθέταις,ἀγραφίου,εἰσαγγελία
Σιμόεντι,Σιμόεντος,Σιμόεις,ἔφεπε,λιγυφθόγγοισι
δυστυχὴς,εὐτυχοῦσα,ψῆτταν,ἐμαυτῆς,δυστυχέστερον
Βάρκα,Βάρκας,Λεπίδου,Ἄννωνα,Ἀσδρούβαν
ἐπεστάθη,κατεστάθη,ἐπέτειοι,βαθμοῖς,παραπλόου
Σελλασίαν,Μεγάλῃ,Μεγαλοπολίτιδος,Πελλήνην,στρατοπεδεύσαντες
ἁγνά,ἁγνάς,ἀνάγνοις,θέλουσαν,κοὐρανῷ
δυστυχησάσης,δυστυχησάντων,παρασχόμενον,ἐπεθύμησαν,προκινδυνεύειν
ἐκακοῦντο,ἐκακοῦτο,ἀπημβλύνθη,ἐμερίσαντο,εὐρυχωρίαν
στενοχωρίᾳ,στενοχωρίαις,στενοχωρία,ἀτραπός,ἐπικαταβάντες
μίγη,βαθυδίνης,ἀνάμπυκες,χολώσατο,Λευκοθέη
Ἀρταμουξία,Περσᾶν,ἀγχιμαχηταὶ,ἀπηντημένων,αὐδήσαντος
συμπλεκομένους,συμπλεκομένων,δυσθυμία,βαλλόμενός,ἐπιφερομένους
λʹ,ἱστόρηται,πλατύτατον,ἡμισταδίου,ἀργυραῖ
Ὀροίτης,Πολυκράτεος,Καμβύσεω,Πολυκράτεα,ἱζόμενος
ἐκχέας,σιδηρῷ,ὅμαιμον,πέδοι,προσαγαγών
σφοδροῦ,παυομένου,πορφυρέῳ,προσεδοκήθη,ἅμματα
συνελθοῦσαι,συνελθοῦσαν,προελθοῦσαι,συνελθοῦσι,παθοῦσαι
περιβόλαιον,περιβόλαια,πορφυροῦν,ψίαθος,διαμένεις
δωματίοις,νεογάμων,δωματίου,διατριβῶν,περιπορφύροις
ἐξερέω,τετελεσμένον,ἀξέμεν,ξείνιον,ἐξερέεινεν
ποιουμένους,καταλαμβάνοντας,τετραμμένους,βαδιζούσης,ποικιλίαις
ψαύει,κῆράς,περιφερομένη,σάρκινον,καρχήσια
συμπλοκάς,περιπλοκάς,ἄλληλα,ἐπιμηχανῶνται,πεῖραί
θεοφιλοῦς,στέλλουσιν,ἐτέχθη,ἀγαθῆς,ἐπάξεσθαι
κεκαλυμμένος,κεκαλυμμένοι,κεκαλυμμένον,κεκαλυμμένα,νεφέλῃ
μέλεσσι,μέλεσσιν,βέλεσσιν,γναμπτοῖσι,στιβαροῖσι
ἤρων,κατεφίλησα,Ὑάκινθον,πόρνη,Δάφνη
τέρψιν,ἡδονὴν,εὐφροσύνην,ἀοιδᾶς,θαυμάστʼ
Σωσᾶ,Ἰουδαίαν,Ἰωάσου,Σίμωνος,Ἰδουμαίων
λάβρῳ,βοέην,φλέγομαι,καιόμενος,συμφέρετʼ
Εἰληθυίας,Κλυταιμνήστρᾳ,ἱερόν,Ἀγοραῖος,Δικτύννης
Ἔρουλοι,Ἔρουλος,Λαγγοβάρδαις,ξυμμαχικὸν,Φιλημοὺθ
Μήλιοι,Σίφνιοι,Μήλιος,Ἀμβρακιῶται,μετανάσται
ἐγχείρησιν,ἐγχείρει,ἐγχείρημα,ἀποκηρύττειν,στρατοὺς
Ἐγκελάδῳ,ὑπογράφουσιν,Ἐγκέλαδον,λεύσσεις,ὑπογράφοντες
ποιητικοῦ,ποιητικούς,ποιητικοὺς,παθητικοῦ,περαίνοντες
Αἰθίοψ,κατεγήρασεν,τελειωθεὶς,Ἠδωνῶν,κολακεύει
Δαυλίδα,Δαυλίδος,Κυπάρισσον,Παγὰς,Πλαταίας
παρακεῖσθαι,Μέντῃ,Ὦξον,συνάπτοντα,Σογδιανοὺς
βουλεύει,ἐπιβουλεύει,βουλεύσαντος,ἐξέθρεψα,συμβουλεύει
δακρύουσιν,ἐρύουσιν,ὠφελουμένους,δακρύουσα,δακρύουσαν
ὕπτιον,ἀνακλίνας,τρώμασιν,ἐρείσαντα,ὕβωμα
πετεηνῶν,ὤεα,ἐνοπῇ,ἐπασσύτεροι,ἀΐσσοντα
Αἰνεσίδημος,Φαβωρῖνος,Φρύνων,Ἀπομνημονευμάτων,Καρύστιον
ἐκβαλόντα,ἐκβαλόντος,ἐκβαλόντας,ἀναπείθουσι,Ἠμαθίωνος
Φθιῶτιν,Μαλιακοῦ,Ἅλον,Ἀφέτας,Δώρου
περιθέσθαι,ἀνηγόρευσε,τετολμηκέναι,Ἄνουβιν,διάδημα
ἀναρχία,ἀναρχίας,συνωμοσία,ἐπαρχία,φαλαγγιτῶν
φανταστικὴν,φανταστικὸν,δοξαστικὴν,φάντασμα,μέθεξις
ᾁδουσι,ᾁδουσιν,φιλοτιμούμεθα,μιμούμεθα,ἐπεσμαράγησαν
ἐξετάζει,κοσμῇ,ἑορτάζει,κολάζετε,ἐμποδίζειν
ὄιος,γελάσω,προσαγάγηται,νομὴ,ἀδελφά
Μαίανδρος,Μαίανδρον,ἐκδιδοῖ,παρασάγγας,Κελαινῶν
ὅπλοισι,ὅπλοισιν,πέπλοισιν,ἱππείοις,ὄχοις
καταλειφθέν,Θηριππίδης,Λύκωνος,προσομολογῆσαι,Ἄφοβος
Νυσαῖοι,Νυσαῖος,Ἄκουφις,δέονταί,Νιφάτης
μεγαλουργίαν,μεγαλουργίας,νεβρίσι,υνκνοων,ἡμισφαίριον
ὑποπίπτοντες,ὑποπίπτοντας,ὑποπίπτοντα,ὑποπίπτουσι,ὑποπίπτων
κυριακῇ,κυριακῆς,ἁγίας,πίστει,γενομένους
χιλίων,διακοσίων,πεντακοσίων,τριακοσίων,σταδίων
κλάδων,ἀπεκαραδόκει,κλάδοις,ἀγριέλαιος,δένδρων
ποιητική,παθητική,θεωρητική,μιμητική,πρακτική
θνῄσκοντας,ἀποθνῄσκοντας,ἀποθνῄσκοντες,ἀποθνῄσκοντα,ἀνοσιωτάτους
ἀπικομένοισι,σφι,ἐνθαῦτα,Περσέων,ἀπικομένους
συνειπεῖν,Φιλοκράτει,συμβουλεῦσαι,Φιλοκράτην,ἐπρεσβεύομεν
ἀνέκοψεν,ἀπειργάσαντο,ἀνέκοψε,κατειργάσαντο,ἔζευξαν
ἐπιδειξάμενος,ἐπιδειξάμενοι,ἐπιδειξαμένους,ἀποδειξάμενος,ἀποδειξάμενοι
προϋπάρχον,προϋπάρχοντες,προϋπάρχοντα,προγεγενημένα,προϋπάρχουσι
ἄριστοί,ἐλάχιστοί,αἰχμοφόροι,οἱ,ποῖοι
δορκάδας,ἰχνεύμονας,ἀετοί,λύκους,ἐλάφους
ὑψηλοτέραν,ὑψηλοτέρου,ὑψηλοτέρων,Κύκνου,μεταβαίνων
Ἀρριδαίῳ,Ἀρριδαῖος,ἀνανεωσομένους,Κασάνδρῳ,Πίθωνι
ἐπέβαν,ἐπέβα,ἀρχεγόνου,πυρκαϊᾶς,ἀσπάσιοι
Κύρνῳ,Ἀθηναίοισί,ἀνεστήσαντο,Ταυροπόλου,Γεραιστῷ
αἰὼν,κατείβετο,ἔφεπε,δυσαίων,γλυκερῆς
ἀνασχόμενον,ἀνασχόμενοι,ἀνασχόμενος,ξυγγνώμη,ἐπαινέσεσθαι
ἐνεδύετο,ἀνεδύετο,φαρέτραι,ξυστίδα,ἐνεδύοντο
θωρήσσοντο,ἐθωρήσσοντο,θωρήσσεσθαι,θωρήχθησαν,ἕλοντο
κωλύσειν,διακωλύσειν,κωλύσεις,περιπλεύσαντες,κωλύσειεν
ἀμερίστου,χωριστά,ἀσύνθετα,χωριστὰς,συγκρίματα
εἰσῆλθεν,ἀσπασόμενος,εἰσῆλθες,ἐστεφανωμένη,Σινωπέως
προσεφέρετο,μελιπήκτων,ἐδίδου,Ἀγριᾶνες,ἐδίδοτο
εὐποτμίαν,Νικοκρέων,ἐδάϊξε,μακαριώτατον,μαρτυρεῖτε
Ζηνόβιος,ἐλεοῦντες,ἐλεοῦντας,ἐνδεῆ,κατειλημμένην
Ἀρεοπαγίτην,Ἀρεοπαγίτης,Ἀρεοπαγίτου,φορτικόν,Κλεομάχου
ἀπολήψεσθαι,ἀπολήψει,πεπιστευκώς,καταθήσειν,ἐσημαίνετο
ζώσῃ,περιμενῶ,Ἁβροκόμη,Ταύτῃ,δυσμένειαν
κεκλήσῃ,παιδοφόνος,δυσσεβὴς,ἄκοιτις,φιλήσῃ
ταὐτόν,θλαστὰς,κατέρχομαι,ταὐτὸν,κτάνοι
μανδραγόραν,μανδραγόρας,μηκώνιον,κοιμίζει,ἐλλέβορον
ταὼ,κέρκου,ὑστερόφωνος,γυψὶ,λίθινοι
ὄτρυνον,ὤτρυνον,ὄτρυνεν,ὄτρυνε,κομόωντας
ἐγκεφάλῳ,ἐγκεφάλου,ἐγκέφαλον,ὑγρότατον,ἕλκοντι
τόξοισι,τόξοισιν,Φωκήων,ἑῇσι,ἔπειραν
συνηθείᾳ,κατακορεῖ,πείρᾳ,ἐκβιασθῆναι,ἐναντιωσόμενον
ψέγοντος,ψέγοντας,ψέγοντες,ἐπαινοῦντος,ψέγοντα
γεωργῶν,γεωργούς,προπολεμοῦν,ἐγύμναζον,χοῦς
προσκαλεσαμένη,προσκαλεσάμενοι,προσκαλεσάμενος,ἀνακαλεσαμένων,προκαλεσαμένου
ἀνοίγοντες,ἐπιδιώκοντες,κωβιοί,ἐπάν,εὐώδης
ἐσσυμένοιο,ἐσσυμένους,ἐσσυμένην,ἐσσυμένη,ἐπεσσυμένοιο
Ἀρταμουξία,Σούπερβον,Κατεσκευάσθω,Περσᾶν,Ἀναγεγράφθω
δέρας,δέραν,Φάσιδι,Ἀταλάντῃ,Αἰήτου
τραφέντας,γραφέντας,τραφέντων,τραφέντα,φύντας
Ἀρταμουξία,ἀγελείης,ἐντευθενί,ἀνακαλεῖς,ἀπολύεις
γελῶ,γέγηθα,πέπωκας,παρασίτῳ,ἀγάγω
Σαυροματῶν,Σαυροματέων,ἐξαναστάντων,Λυσιτανῶν,Γετικὸν
ἐκλήθη,καλεῖται,ἐπωνυμίαν,ἐπιθέτου,κατεσκάφη
ἀφιγμένων,μεμιγμένων,δεδομένους,συνούσης,ἐκστάντες
ἀΐοντες,ἀΐοντι,φαινομένηφιν,ἐπίαχον,ὑπέτρεσαν
ΛΥ,ΝΥ,ΑΥ,ΘΖ,ΛΖ
προσπῖπτον,πρύμναις,ἐδάφεσι,ὕφαλοι,προβόλοις
ἑαυτὰς,αἱ,γήμαντες,συνελθοῦσαι,διδοῦσαι
σοφίσματι,σοφίσματος,λαλοῦντι,συγγράψας,σοφίσματα
κεχωρισμένοι,κεχωρισμένους,κεχωρισμένων,κεχωρισμένος,κεχωρισμέναι
ἐφήσθησαν,ἐφήσω,ἐκλαθόμενοι,ἔθυσαν,ἀπηνέγκαντο
πίνεται,πίνετο,ἐξασθενεῖ,χαῖται,ὄιος
Νικόμαχος,Νικόμαχον,Λυσιμαχίδης,Νικομάχου,Κηφισόδωρος
Ἀλέξανδρον,Ἀλεξάνδρου,Ἀλέξανδρος,Ἀλεξάνδρῳ,Μακεδόνων
σοβαρός,κατάκλισις,Κύπριον,ἐσθήτων,κακόνοιαν
ἀσμένῳ,κορυφαίων,ἀμείψεις,διαλαγχάνειν,Λάρισσαν
πεποιήκει,λαλουμένων,ἐφάπτεταί,ἐκλεκτὸν,ἐμάνθανεν
ἑωθινὸς,ἀνίσταμαι,πληθύοντος,κοιμησόμενος,καταδαρθάνειν
θηήσατο,θηήσαντο,θηήσασθαι,ἐθηήσαντο,ἀχνυμένοισιν
ῥαΐσας,Ἕβρος,διεκείμην,πεμφθέντα,πάγοι
Παρθυαίοις,Παρθυαίων,Παρθυαίους,Κράσσῳ,προηγόρευον
ἀπήγγειλαν,ἀπήγγειλε,ἀπήγγειλεν,ἀπέδρα,τοσούτῳ
προκόπτοντες,προκόπτοντα,προκόπτουσιν,προκόπτοντος,προκόπτειν
ἀπικομένοισι,ἐπείτε,Περσέων,Πέρσῃσι,ἀπικόμενος
μεμαντευμένων,μαντευμάτων,φοιτάδος,ἑάλωκα,μούσῃ
προσβαλόντα,προσβαλόντας,παρασκευασαμένων,παρασκευασαμένους,προσβαλόντων
κλαίουσιν,κλαίουσι,κλαίουσʼ,κλαίουσα,δρυσὶν
νεογνὰ,νηπίων,φθοράς,φθορὰς,παιδίων
παραληψομένους,καταληψομένους,προκαταληψομένους,παραληψόμενος,κληρουχιῶν
