τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
ἐπιπλεόντων,ἀνηγάγοντο,ἀναχωρούντων,φορτηγοῖς,Πίσας
εὐφωνίαν,εὐφωνίας,εὐμέλειαν,ῥαψῳδοὶ,ὁμοφωνίαν
τερατῶδες,διῃτᾶτο,ἐκτεθεῖσιν,ἀλγηδόνι,ἐπινοοῦσι
Ἀρταμουξία,σφαγήσεται,ῥυομένη,ὑδρηναμένη,φιληρέτμοισι
γεγραφότες,Λαισποδίου,εἰρηκότες,Οὐρανίωνες,ἐπιστέλλοντες
προέλωνται,ἐπαγγελλομένους,ἐπαγγέλλονται,ἀμείψεις,πλανωμένοις
ὄζων,κλιβάνῳ,ἀποπνέων,σίγησον,πρωί
Ἀντισθένης,Σωκρατικὸς,Ἀντισθένην,Διαδοχαῖς,Σωκράτης
εὐκοίλιος,εὐκοίλιοι,εὐκοίλια,ἁπαλόσαρκος,εὐστόμαχος
Πλαταιᾶς,ἐκωλύσαμεν,ἐπεξελθόντες,ἀπόλιδας,Θεσπιὰς
λῃστήν,ἤλασεν,πεφόβηνται,φαρμακέα,λωποδύτην
σεαυτὸν,λέληθας,σεαυτῷ,σαυτὸν,ἔσῃ
Τύχῃ,μουσικωτάτου,ἀποχρῆσθαι,προσεχώρει,καθελόντος
κάμνοντα,κάμνοντας,καμνόντων,Φενεόν,κάμνων
Ἰουστινιανὸν,Ἰουστινιανὸς,Χοσρόην,βασιλέα,Χοσρόης
ἀρότῳ,ὦλκα,μεληδόνας,εὐκαμπὲς,σπόρῳ
Περσῶν,Κύρου,Ἀρταξέρξης,ἐστράτευσεν,Ἀγγαῖος
πολυκλύστῳ,πολυκλύστοιο,ἠιόνι,αἰγίλιπος,Εὔρου
Ἀφόβῳ,Ἀφόβου,Ἄφοβος,Ὀνήτωρ,Θηριππίδῃ
προσπλεῖν,προσπλεύσας,προσπλεύσαντες,μαχαιροφόρους,ἐσπλεῖν
χωνευτὸν,γλυπτὸν,ἀργυρόποδα,ἀργυρόποδας,ἐπίχρυσον
μαρτύρια,λς,μίτραι,φυκίδα,στρεπτοὶ
ἰοχεαίρης,ἰοχεαίρῃ,πέλες,Μαίρης,Μεγαίρης
ῥινὸν,ἐπικλείουσιν,ἕσσατο,ἐπεσσυμένας,ἐρύσαι
κατακειμένην,κατακειμένου,κατακειμένοις,κατακειμένους,κατακειμένῳ
</s>,λαιοῖο,ὀρεσσιχύτου,ἀκαμπέος,ἀμφιέλικτος
στήθεα,Ἄδωνι,ἀτταταῖ,λευκάδι,μίτρῃ
λοχαγόν,λοχαγὸν,πρωτοστάτης,ἰλάρχην,λοχαγός
Ξενίου,πλώοντες,ξεῖνοι,θᾶκοι,μολπῇ
κατατιθέμενον,κατατιθέμενος,κατατιθέναι,κατατιθέντες,συντελέσας
παραπλεύσαντι,ἐπίνειον,ὕφορμος,ἀναπλεύσαντι,Ὄνου
ἐλούετο,περιηγέες,ἐνέβαινε,ἐέρσαις,φορῶν
δοῦσα,διετήρησεν,διακελευσαμένη,ἐπάρχοις,ἀπήνεγκεν
θανάτων,θανάτου,μητροκτόνον,μισοῖτο,οἴκτιστος
ἐγκαλέσας,ἐγκαλέσαντες,ἀπέτεισε,κλαύσας,ἐξηπατημένος
ἱζάνειν,ἱζάνει,ποιουμένην,Σηπιὰς,δῆξις
γαμβρὸν,ἀπήντησεν,ἀσπάζοιτο,βαρύκτυπος,Μορρῆα
καθεστηκὼς,ἐφεστηκὼς,προεστηκὼς,παρέταττε,Περγαμηνοῖς
λέγον,ἐσελθόντος,ἐπίγραμμά,συγγραφή,κεραυνωθῆναι
νεκρὰ,ἄταφα,ἄσηπτα,χιλιάδας,τοῖνδε
περιστάσεσιν,περιστάσεσι,ὑποστάσεσι,διαστάσεσι,ταῖς
ἀμπεχομένῳ,ἀμπεχομένη,ἀμπεχομένους,ἀναιδεῖ,κολεῷ
συμπεσὸν,τραυματιζομένων,καλυπτόμενον,κατίδοι,θήγει
ἐθεάσω,ἐγέλασας,γνωρίζεις,ἐθεάσασθε,Ἀπολλώνιε
ἐτείχιζε,ἀπετείχιζε,ἐτείχιζεν,περιετείχιζε,θυσάμενος
ἐγείρει,ὀρθοῖ,ζωοποιεῖ,διαλλάττει,ἐκκρίνει
Οὐλίθεος,Κουτζίνας,Ἀντάλαν,Γόνθαριν,Ἀντάλᾳ
κιρνάμενον,κιρνάναι,ἶσοι,αὔλακος,αὐξάνει
ἔνδοξος,Ἀχαιίδες,πλουσία,ὀνομαστὸς,Ἀργεία
κάλλεα,τεχνήεντα,πολυτρήτοιο,πτόλις,ἀλκυόνες
νηιὰς,ἀκρήδεμνος,ἀσάμβαλος,χρεμετισμὸν,ἀνήρυγε
ἀπελείφθην,κατελείφθην,ἐρρωμένας,διατετέλεκα,ἀπελείφθη
Λητωίδι,λάμπε,ἀναγνωσομένων,ἀναγνωσομένοις,νηδύι
εἰσηγοῦνται,πραγματευομένοις,πραγματευομένων,πραγματευομένους,φυσιολόγε
θηριώδης,ἕλκουσα,εἰναλίῃ,ἀνήμερος,προεδήλωσεν
ἀναξίοις,γαστρίμαργοι,ἀνελευθέρων,ἐξελευθέρων,ἀντερᾶσθαι
</s>,ἐνὶ,κνημοῖσι,ὀρεσσιχύτου,·
ἐμαυτὴν,περιόψομαι,δύστηνʼ,παραιτοῦμαι,βαστάσει
τοὺς,αὐτοὺς,καθιστάντας,ὄντας,προκαταλαμβάνοντας
τοὔπισθεν,ζῶσμα,τοὔμπροσθεν,κληῗδος,ἰητρεύηται
συμβουλεύοντος,πρωτεύοντος,παραινοῦντος,συμβουλευομένου,τριβόλους
ἐφῇ,καταγραφὴν,Ἰσμάηλον,προσπλεῦσαι,ἐπιμελητάς
Ζάγκλης,ἀπειρήτην,ἀγαγὼν,κατασκευάσας,ἐπέκλυεν
